@relation Snake_Game-weka.filters.unsupervised.attribute.Remove-R55-weka.filters.unsupervised.attribute.Remove-R1-49

@attribute head_pos_x numeric
@attribute head_pos_y numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute score numeric
@attribute actual_direction {1,2,3,4}

@data
110,50,260,260,-1,4
120,50,260,260,-2,4
130,50,260,260,-3,4
140,50,260,260,-4,4
150,50,260,260,-5,4
160,50,260,260,-6,4
170,50,260,260,-7,4
180,50,260,260,-8,4
190,50,260,260,-9,4
200,50,260,260,-10,4
210,50,260,260,-11,4
220,50,260,260,-12,4
230,50,260,260,-13,4
240,50,260,260,-14,4
250,50,260,260,-15,4
250,60,260,260,-16,2
250,70,260,260,-17,2
250,80,260,260,-18,2
250,90,260,260,-19,2
250,100,260,260,-20,2
250,110,260,260,-21,2
250,120,260,260,-22,2
250,130,260,260,-23,2
250,140,260,260,-24,2
250,150,260,260,-25,2
250,160,260,260,-26,2
250,170,260,260,-27,2
250,180,260,260,-28,2
250,190,260,260,-29,2
250,200,260,260,-30,2
250,210,260,260,-31,2
250,220,260,260,-32,2
250,230,260,260,-33,2
250,240,260,260,-34,2
250,250,260,260,-35,2
250,260,260,260,-36,2
250,270,260,260,-37,2
250,280,260,260,-38,2
250,290,260,260,-39,2
250,300,260,260,-40,2
260,300,260,260,-41,4
270,300,260,260,-42,4
280,300,260,260,-43,4
290,300,260,260,-44,4
300,300,260,260,-45,4
310,300,260,260,-46,4
320,300,260,260,-47,4
330,300,260,260,-48,4
340,300,260,260,-49,4
350,300,260,260,-50,4
360,300,260,260,-51,4
360,290,260,260,-52,1
360,280,260,260,-53,1
360,270,260,260,-54,1
360,260,260,260,-55,1
360,250,260,260,-56,1
360,240,260,260,-57,1
360,230,260,260,-58,1
350,230,260,260,-59,3
340,230,260,260,-60,3
330,230,260,260,-61,3
320,230,260,260,-62,3
310,230,260,260,-63,3
300,230,260,260,-64,3
290,230,260,260,-65,3
280,230,260,260,-66,3
270,230,260,260,-67,3
260,230,260,260,-68,3
250,230,260,260,-69,3
240,230,260,260,-70,3
230,230,260,260,-71,3
220,230,260,260,-72,3
210,230,260,260,-73,3
200,230,260,260,-74,3
