@relation 'Snake_Game-weka.filters.unsupervised.attribute.Remove-R1-49,61-120'

@attribute head_pos_x numeric
@attribute head_pos_y numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute score numeric
@attribute distance_food_x numeric
@attribute distance_food_y numeric
@attribute distance_food_x_abs numeric
@attribute distance_food_y_abs numeric
@attribute distance_wall_down numeric
@attribute distance_wall_right numeric
@attribute last_direction {1,2,3,4}
@attribute actual_direction {1,2,3,4}

@data
100,50,120,370,0,-20,-320,20,320,430,380,4,4
110,50,120,370,-1,-10,-320,10,320,430,370,4,4
120,50,120,370,-2,0,-320,0,320,430,360,4,2
120,60,120,370,-3,0,-310,0,310,420,360,4,2
120,70,120,370,-4,0,-300,0,300,410,360,4,2
120,80,120,370,-5,0,-290,0,290,400,360,4,2
120,90,120,370,-6,0,-280,0,280,390,360,4,2
120,100,120,370,-7,0,-270,0,270,380,360,4,2
120,110,120,370,-8,0,-260,0,260,370,360,4,2
120,120,120,370,-9,0,-250,0,250,360,360,4,2
120,130,120,370,-10,0,-240,0,240,350,360,4,2
120,140,120,370,-11,0,-230,0,230,340,360,4,2
120,150,120,370,-12,0,-220,0,220,330,360,4,2
120,160,120,370,-13,0,-210,0,210,320,360,4,2
120,170,120,370,-14,0,-200,0,200,310,360,4,2
120,180,120,370,-15,0,-190,0,190,300,360,4,2
120,190,120,370,-16,0,-180,0,180,290,360,4,2
120,200,120,370,-17,0,-170,0,170,280,360,4,2
120,210,120,370,-18,0,-160,0,160,270,360,4,2
120,220,120,370,-19,0,-150,0,150,260,360,4,2
120,230,120,370,-20,0,-140,0,140,250,360,4,2
120,240,120,370,-21,0,-130,0,130,240,360,4,2
120,250,120,370,-22,0,-120,0,120,230,360,4,2
120,260,120,370,-23,0,-110,0,110,220,360,4,2
120,270,120,370,-24,0,-100,0,100,210,360,4,2
120,280,120,370,-25,0,-90,0,90,200,360,4,2
120,290,120,370,-26,0,-80,0,80,190,360,4,2
120,300,120,370,-27,0,-70,0,70,180,360,4,2
120,310,120,370,-28,0,-60,0,60,170,360,4,2
120,320,120,370,-29,0,-50,0,50,160,360,4,2
120,330,120,370,-30,0,-40,0,40,150,360,4,2
120,340,120,370,-31,0,-30,0,30,140,360,4,2
120,350,120,370,-32,0,-20,0,20,130,360,4,2
120,360,120,370,-33,0,-10,0,10,120,360,4,2
120,370,280,30,67,-160,340,160,340,110,360,4,4
130,370,280,30,66,-150,340,150,340,110,350,4,4
140,370,280,30,65,-140,340,140,340,110,340,4,4
150,370,280,30,64,-130,340,130,340,110,330,4,4
160,370,280,30,63,-120,340,120,340,110,320,4,4
170,370,280,30,62,-110,340,110,340,110,310,4,4
180,370,280,30,61,-100,340,100,340,110,300,4,4
